"label","domain","title","description","city","country"
,"www.easttexasmatters.com","KETK, FOX51 | Tyler News & Weather | Tyler, TX | KETK | FOX51 | EastTexasMatters.com","KETK NBC and FOX51 tell local Tyler news & weather stories, and we do what we do because Tyler and the rest of East Texas Matters.","Tyler",
,"www.channelnewsasia.com","CNA - Breaking news, latest Singapore, Asia and world news","CNA: Breaking news in Asia and Singapore; latest stories from around the world, business, sports, lifestyle, commentary and more. Watch CNA live.","Asia","Singapore"
,"wtop.com","WTOP | Washington's Top News","WTOP delivers the latest news, traffic and weather information to the Washington, D.C. region. See today’s top stories.","Washington",
,"www.koin.com","Portland OR News & Weather | Portland, OR | KOIN.com","Reporting Portland and Vancouver area news and weather stories to make Oregon and Southwest Washington a better place to live","Vancouver",
,"nationalpost.com","
		Canadian News, World News and Breaking Headlines | National Post		","National Post is your source for the latest news, information, updates on the latest events and happenings. Watch exclusive video, audio and photo coverages on trending issues and more.",,
,"www.smarteranalyst.com","403 Forbidden",,,
,"oklahoman.com","Oklahoma City News, Sports, Weather & Entertainment | News OK","Oklahoman is Oklahoma's most trusted source for breaking news, sports, weather, obituaries, politics, business, art, entertainment, blogs, video, photos and Oklahoma City headlines.","Oklahoma",
,"www.chicagotribune.com","Chicago Tribune: Chicago news, sports, weather, entertainment","Chicago Tribune: Your source for Chicago breaking news, sports, business, entertainment, weather and traffic","Chicago",
,"www.denverpost.com","The Denver Post – Colorado breaking news, sports, business, weather, entertainment.","Latest Denver news, top Colorado news and local breaking news from The Denver Post, including sports, weather, traffic, business, politics, photos and video.","Colorado",
,"www.fourstateshomepage.com","Joplin News & Weather | Joplin, MO | KSNF/KODE - FourStatesHomepage.com","We tell local Joplin news & weather stories, and we do what we do to make Joplin and the rest of Missouri a better place to live.","Joplin",
,"www.weareiowa.com","Local 5 - weareiowa.com | Des Moines Local News & Weather | Des Moines, Iowa","We tell local Des Moines news & weather stories, and we do what we do to make De Moines and the rest of Iowa a better place to live.","Des Moines",
,"www.wkrg.com","Mobile News & Weather | Mobile, Pensacola | wkrg.com","We tell local Mobile news & weather stories, and we do what we do to make Mobile, Pensacola, Baldwin County and the rest of The Gulf Coast a better place to live.","Mobile",
,"www.irishtimes.com","Breaking News | Irish & International Headlines | The Irish Times","The Irish Times online. Latest news including sport, analysis, business, weather and more from the definitive brand of quality news in Ireland.",,"Ireland"
,"dcw50.com","DCW50 | The CW in Washington.","The CW in Washington.","Washington",
,"www.centralillinoisproud.com","Peoria News & Weather | Peoria, IL | WMBD - CIProud.com","We tell local Peoria news & weather stories, and we do what we do to make Peoria and the rest of Central Illinois a better place to live.","Peoria",
,"www.informnny.com","Watertown News & Weather | Watertown, NY | WWTI - InformNNY.com","We tell local Watertown news & weather stories, and we do what we do to make Watertown and the rest of Northern New York a better place to live.","Watertown",
,"www.arklatexhomepage.com","Shreveport News & Weather | Shreveport, LA | ArkLaTexHomepage","Arklatexhomepage is your local source for ArkLaTex news, weather, and sports. Through KTAL NBC 6, KMSS FOX 33, and KSHV 45, we bring you local news that matters, including Texarkana First News, the region’s only newscast dedicated to the Four States area.",,
,"www.dw.com","News and current affairs from Germany and around the world | DW","News, off-beat stories and analysis of German and international affairs. Dive deeper with our features from Europe and beyond. Watch our 24/7 TV stream.",,
,"www.nbcconnecticut.com","NBC Connecticut – Connecticut News, Local News, Weather, Traffic, Entertainment, Breaking News","Connecticut News, Local News, Weather, Traffic, Entertainment, Breaking News",,
,"www.wivb.com","News 4 Buffalo",,"Buffalo",
,"www.nwahomepage.com","KNWA and Fox 24 Northwest Arkansas News",,,
,"www.nj.com","New Jersey Local News, Breaking News, Sports &amp; Weather",,,
,"indianautosblog.com","Global Auto News, Rumours, Scoops, Spyshots and Renders with emphasis on the Indian Auto Market. - Indian Autos Blog","Global Auto News, Rumours, Scoops, Spyshots and Renders with emphasis on the Indian Auto Market.",,
,"www.ktsm.com","KTSM 9 News",,,
,"www.indiatvnews.com","News in English: Latest News, Breaking News, Live Updates - IndiaTV News ","News in English: Get all Breaking News Headlines from India and World. Photos, Live news coverage and Latest News from Politics, Bollywood, Election 2019 News, at IndiaTV News.",,"India"
,"www.wowktv.com","Charleston-Huntington News & Weather | Charleston-Huntington, WV | WOWK 13 News","We tell local Charleston-Huntington news & weather stories, and we do what we do to make Charleston-Huntington & the rest of West Virginia, Ohio, and Kentucky a better place to live.",,
,"www.sun-sentinel.com","South Florida news, information, weather and events - South Florida Sun-Sentinel","News from Broward County, Palm Beach County and Miami-Dade County, including breaking news, weather, traffic, events, entertainment and more.",,
,"www.bigcountryhomepage.com","Abilene News & Weather | Abilene, TX | KTAB & KRBC | BigCountryHomepage.com","We tell local Abilene news & weather stories, and we do what we do to make Abilene, Sweetwater and the rest of the Texas Big Country a better place to live.","Abilene",
,"www.rochesterfirst.com","RochesterFirst.com is the official site for WROC TV Channel 8 in Rochester NY.","Get all your Rochester NY News, Weather and Sports from The Team You Can Trust.","Rochester",
,"www.wjhl.com","WJHL | Tri-Cities News & Weather","WJHL.com is the source for breaking local, weather and sports news in the Tri-Cities, TN/VA region.",,
,"www.financialexpress.com","Access Denied",,,
,"www.thestar.com","thestar.com | The Star | Canada's largest daily","thestar.com is Canada's largest online news site. From national coverage and issues to local headlines and stories across the country, the Star is your home for Canadian news and perspectives. Stay current with sports, business, entertainment stories and more at thestar.com.",,"Canada"
,"www.siouxlandproud.com","Sioux City News & Weather | Sioux City, IA | | SiouxlandProud.com",,"Sioux City",
,"www.8newsnow.com","Las Vegas News & Weather | KLAS 8 News Now | 8NewsNow.com","8 News Now tells local Las Vegas news & weather stories, and we do what we do to make Las Vegas and the rest of Nevada a better place to live.","Las Vegas",
,"www.mymotherlode.com","The Mother Lode's Local News, Sports, Weather, Movies, Classifieds, Yellow Pages, Real Estate - myMotherLode.com","myMotherLode.com Sonora, brings you local news, weather, sports, real estate, traffic, movies, dining, entertainment, yellow pages, community, classifieds and",,
,"www.abc27.com","Harrisburg, Pa. News & Weather | WHTM | ABC27","ABC27 is your local source for breaking news, latest headlines, severe weather, sports, and traffic in Harrisburg, York, Lancaster, Lebanon. WHTM-TV is your ABC television affiliate in all of south-central Pennsylvania.","Harrisburg","Lebanon"
,"www.vanguardngr.com","Vanguard News, Sports and Business from vanguard Newspapers -","Vanguard News is a daily News publication In Nigeria covering Latest news, Breaking News, Politics, Relationships, Entertaiment and Sports",,
,"www.news10.com","Albany, New York News, Weather, Sports | NEWS10 ABC",,"Albany",
,"www.baltimoresun.com","Baltimore Sun: Baltimore breaking news, sports, business, entertainment, weather and traffic","Baltimore Sun: Your source for Baltimore breaking news, sports, business, entertainment, weather and traffic","Baltimore",
,"www.naijadailies.com","Naija Dailies: Latest Top Nigerian News","Top and latest Naija news from popular Nigerian online newspapers and blogs.",,
